ID_Empresa;RazaoSocial;Total;
431;Brasdril Sociedade de Perf. Ltda - SS 67 Worker;1018;
478;Brasdril Sociedade de Perf. Ltda - SS40 O.Yorktown;24;
516;Brasdril Sociedade de Perf. Ltda - SS64 O. Concord;41;
121;Brasflex Tubos Flexiveis Ltda;287;
254;Brasflex Tubos Flexiveis Ltda - Sunrise 2000;229;
110;Brasil Recicle Ltda;0;
7;Brasitest LTDA;71;
290;Brasitest Ltda;23;
74;Brasquip Eng. Inst. Serv. e Repres. Ltda;0;
39;Brastech Serv. Tec. e Const. Nauticas Ltda;45;
241;Brastech Serviços Tec. de Petroleo Ltda;5;
8;BSM Engenharia S/A;189;
10;Cameron do Brasil Ltda;1393;
544;Cameron do Brasil Ltda Galpão Novo Cavaleiros;19;
555;Cartuchos Express Ltda.;0;
489;Cedae - Estaçao Alegria;0;
118;Cedae - Estaçao Alegria (4° via entregue);0;
248;Central de Tratamento de Residuos;0;
545;Cerâmica União Sudeste LTDA;0;
562;Cerâmica União Sudeste LTDA - (4ª via entregue);0;
133;Ceramica Ki - Joinha Ltda - ME;0;
53;Ceramica Marajo Ltda;0;
470;Ceramica Marajo Ltda (4ª via entregue);0;
405;Cetco Serviços de Petroleo.;248;
40;Churrascaria Belser Ltda;0;
66;Cipame Com. e Ind. de Papeis e Metais;0;
41;Cis do Brasil Ltda;1179;
434;Clean Quimica LTDA;0;
467;CN2 Transportes Rodoviários de Cargas LTDA.;0;
427;Condominio Plaza Macae Ltda.;103;
42;Conduto Companhia Nacional de Dutos;25;
129;Consorcio PCP - ENGEVIX;1020;
43;Construtora Norberto Odebrecht S/A;1207;
456;Construtora Zadar LTDA (4ª via entregue);0;
453;Construtora Zadar LTDA.;0;
52;CRR Centro de Recicl. Rio Ltda;0;
457;CRR Centro de Recicl. Rio Ltda (4ª via entregue);0;
44;Dawnstec Power Ltda;1;
102;Delba Maritima Navegaçao S/A;1;
458;Desentupidora Guanabara LTDA.;0;
392;Desmont Foxtrot Ltda;0;
564;E. L. GONÇALVES TRANSPORTES - ME;0;
332;El Paso oleo e Gas do Brasil Ltda;0;
428;Elasa Elo Alimentaçao S/A;15;
430;Elasa Elo Alimentaçao S/A   Base Alimenta;299;
452;Elasa Elo Alimentaçao S/A   Base Vix;1;
559;ELASA ELO FORN ALIMENT D MACAE LTDA B.NUTRINSHORE;106;
552;ELASA ELO FORNEC ALIMENT D MACAELTDA BASE ALIMENTA;13;
371;ELFE - Soluçao em Serviços Ltda.;369;
571;Ensco Brasil Petroleo Gas LTDA - SS47 Ensco 6000;236;
582;Ensco Brasil Petroleo Gas LTDA - SS48 Ensco 5005;208;
572;Ensco Brasil Petroleo Gas LTDA - SS56 Ensco 6001;173;
573;Ensco Brasil Petroleo Gas LTDA - SS57 Ensco 6002;60;
574;Ensco Brasil Petroleo Gas LTDA - SS60 Ensco 6003;49;
575;Ensco Brasil Petroleo Gas LTDA - SS66 Ensco 5000;35;
568;Ensco Brasil Petroleo Gas LTDA - SS82 Ensco 7500;248;
577;Ensco Brasil Petroleo Gas LTDA- Centro Treinamento;11;
610;Ensco do Brasil Petroleo e Gas LTDA - Ensco 5002;100;
570;Ensco do Brasil Petroleo e Gas LTDA.;270;
612;Ensco do Brasil Petroleo e Gas LTDA. ENSCO 6004;1;
507;Enviro-Chemie Trat. Especial. LTDA. - 4º Entregue;0;
429;Enviro-Chemie Tratamento Especializados LTDA.;0;
48;Essencis Co-Processamento Ltda;0;
518;Essencis Co-Processamento Ltda - (4ª Via Entregue);0;
592;Estação de Tratamento de Esgoto;0;
634;Estação de Tratamento de Esgoto - (4ªvia entregue);0;
382;Etesco Construçoes e Comercio Ltda;100;
389;Etesco Construçoes e Comercio Ltda -  NS 16;928;
473;Etesco Construçoes e Comercio Ltda - FLOTEL;1;
538;Etesco Construçoes e Comercio Ltda  NS 07 ABAN ABR;467;
609;Etesco Construçoes e Comercio Ltda  Takatsugu J;92;
553;Ethos 2007 Gestão Empresarial LTDA.;0;
477;Expro do Brasil Serviços Ltda;680;
623;Expro do Brasil Serviços Ltda - Base 2;12;
57;Ferpan Comercio de Metais Ltda;251;
370;Ferpan Comercio de Metais Ltda;1469;
517;Ferpan Comercio de Metais Ltda - (4ª Via Entregue);0;
436;Ferpan Comercio de Metais Ltda - Cetco;1;
116;Ferpan Comercio de Metais Ltda_2;364;
61;Frama Transporte e Comercio Ltda;0;
11;Frank's International do Brasil Ltda;421;
388;Frontier Drilling do Brasil Ltda;168;
391;Frontier Drilling do Brasil Ltda - Frontier;0;
502;Fugro Brasil Serv Sub lev LTDA  ZEN;964;
503;Fugro Brasil Serv Sub lev LTDA  ZEN - BASE ODYSSEY;3;
440;Fugro Brasil Serv.Sub e Levant. LTDA   BASE II;208;
439;Fugro Brasil Serv.Sub e Levant. LTDA  BASE I;450;
450;Fugro Brasil Serv.Sub e Levant. LTDA BaseInteq Die;0;
12;Fugro Geosolutions (Brasil) Serv. de Levant. Ltda;361;
243;Fugro Marsat Serv. Sub. Ltda- Ocean S Pag;40;
343;Fugro Marsat Serv. Sub. Ltda- Ocean S Pag - Navio;10;
355;Fugro Oceansatpeg S.A;23;
351;Fugro Oceansatpeg S/A - Base;52;
565;GALAXIA MARITIMA LTDA;1;
523;GE OIL AND GAS DO BRASIL LTDA;151;
512;GEORADAR LEVANTAMENTOS GEOFÍSICOS SA;0;
