ID_Empresa;RazaoSocial;Total;
597;Transocean Brasil Ltda - MTC TRANSOCEAN MACAE;10;
146;Transocean Brasil Ltda - NS 16;222;
147;Transocean Brasil Ltda - NS 20;170;
148;Transocean Brasil Ltda - NS 22;39;
153;Transocean Brasil Ltda - NS 23;1536;
441;Transocean Brasil Ltda - NS 26 MILENNIUM;182;
386;Transocean Brasil Ltda - NS16;0;
537;Transocean Brasil Ltda - Petrobras 10000;103;
446;Transocean Brasil Ltda - Sedco 706 Ilha Rasa;42;
629;Transocean Brasil Ltda - Sovereign Explorer;2;
419;Transocean Brasil Ltda - SOVEX;72;
442;Transocean Brasil Ltda - SS 37;1;
463;Transocean Brasil Ltda - SS 40;0;
154;Transocean Brasil Ltda - SS 41;1;
149;Transocean Brasil Ltda - SS 43;2132;
150;Transocean Brasil Ltda - SS 49;2957;
151;Transocean Brasil Ltda - SS 50;1643;
464;Transocean Brasil Ltda - SS 52;0;
465;Transocean Brasil Ltda - SS 55;0;
152;Transocean Brasil Ltda - SS 59;3;
387;Transocean Brasil Ltda - SS 63;1556;
466;Transocean Brasil Ltda - SS 64;0;
485;Transocean Brasil Ltda - SS72 Celtic Sea;233;
510;Transocean Brasil Ltda - SS76 Cajun Express;865;
335;Transportadora Bitury Ltda;0;
522;Transportadora Norte Fluminense de Macaé Ltda.;0;
63;Transportadora Novo Milenio Ltda;0;
130;TRIBEL Trat. de Residuos Ind.;0;
103;Tuboscope Vetco do Brasil Eq. Serv. Ltda;1;
32;UNAP Uniao Nacional de Perfuraçao L;423;
359;Univex  ( * Encontra-se em trÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã;0;
354;Univex Industria e ComÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±rcio;0;
122;Usina Norte Fluminense S/A;32;
524;UTC Engenharia S/A.;544;
31;Varco International  Brasil Eq. Serv. Ltda _1;183;
106;Varco International  Brasil Eq. Serv. Ltda_2;113;
278;Ventura Petroleo S.A.;372;
33;Ventura Petroleo S.A. - Base;316;
525;Ventura Petroleo S.A. - Dynamic Producer;453;
590;Ventura Petroleo S.A. - NS29 Carolina;56;
169;Ventura Petroleo S.A. - SS 51 LOUISIANA;1932;
482;Ventura Petroleo S.A. - SS70 Victória;824;
127;Vetco Gray oleo e Gas Ltda;426;
581;Weatherford Ind. e Comercio Ltda - Novo Cavaleiros;224;
128;Weatherford Industria e comercio Ltda;2691;
227;White Martins Gases Industriais Ltda;105;
490;xxxxxxxxxxxxxxxxxxxxxxxx;0;
509;xxxxxxxxxxxxxxxxxxxxxxxx - 4ª via já entregue;0;
