ID_Empresa;RazaoSocial
470;Ceramica Marajo Ltda (4ª via entregue)
545;Cerâmica União Sudeste LTDA
562;Cerâmica União Sudeste LTDA - (4ª via entregue)
405;Cetco Serviços de Petroleo.
40;Churrascaria Belser Ltda
66;Cipame Com. e Ind. de Papeis e Metais
41;Cis do Brasil Ltda
434;Clean Quimica LTDA
467;CN2 Transportes Rodoviários de Cargas LTDA.
427;Condominio Plaza Macae Ltda.
42;Conduto Companhia Nacional de Dutos
129;Consorcio PCP - ENGEVIX
43;Construtora Norberto Odebrecht S/A
456;Construtora Zadar LTDA (4ª via entregue)
453;Construtora Zadar LTDA.
52;CRR Centro de Recicl. Rio Ltda
457;CRR Centro de Recicl. Rio Ltda (4ª via entregue)
44;Dawnstec Power Ltda
102;Delba Maritima Navegaçao S/A
458;Desentupidora Guanabara LTDA.
392;Desmont Foxtrot Ltda
564;E. L. GONÇALVES TRANSPORTES - ME
332;El Paso oleo e Gas do Brasil Ltda
428;Elasa Elo Alimentaçao S/A
430;Elasa Elo Alimentaçao S/A   Base Alimenta
452;Elasa Elo Alimentaçao S/A   Base Vix
559;ELASA ELO FORN ALIMENT D MACAE LTDA B.NUTRINSHORE
552;ELASA ELO FORNEC ALIMENT D MACAELTDA BASE ALIMENTA
371;ELFE - Soluçao em Serviços Ltda.
571;Ensco Brasil Petroleo Gas LTDA - SS47 Ensco 6000
582;Ensco Brasil Petroleo Gas LTDA - SS48 Ensco 5005
572;Ensco Brasil Petroleo Gas LTDA - SS56 Ensco 6001
573;Ensco Brasil Petroleo Gas LTDA - SS57 Ensco 6002
574;Ensco Brasil Petroleo Gas LTDA - SS60 Ensco 6003
575;Ensco Brasil Petroleo Gas LTDA - SS66 Ensco 5000
568;Ensco Brasil Petroleo Gas LTDA - SS82 Ensco 7500
577;Ensco Brasil Petroleo Gas LTDA- Centro Treinamento
570;Ensco do Brasil Petroleo e Gas LTDA.
507;Enviro-Chemie Trat. Especial. LTDA. - 4º Entregue
429;Enviro-Chemie Tratamento Especializados LTDA.
48;Essencis Co-Processamento Ltda
518;Essencis Co-Processamento Ltda - (4ª Via Entregue)
592;Estação de Tratamento de Esgoto
382;Etesco Construçoes e Comercio Ltda
538;Etesco Construçoes e Comercio Ltda  NS 07 ABAN ABR
389;Etesco Construçoes e Comercio Ltda -  NS 16
473;Etesco Construçoes e Comercio Ltda - FLOTEL
553;Ethos 2007 Gestão Empresarial LTDA.
477;Expro do Brasil Serviços Ltda
57;Ferpan Comercio de Metais Ltda
370;Ferpan Comercio de Metais Ltda
517;Ferpan Comercio de Metais Ltda - (4ª Via Entregue)
436;Ferpan Comercio de Metais Ltda - Cetco
116;Ferpan Comercio de Metais Ltda_2
61;Frama Transporte e Comercio Ltda
11;Frank's International do Brasil Ltda
388;Frontier Drilling do Brasil Ltda
391;Frontier Drilling do Brasil Ltda - Frontier
502;Fugro Brasil Serv Sub lev LTDA  ZEN
503;Fugro Brasil Serv Sub lev LTDA  ZEN - BASE ODYSSEY
440;Fugro Brasil Serv.Sub e Levant. LTDA   BASE II
439;Fugro Brasil Serv.Sub e Levant. LTDA  BASE I
450;Fugro Brasil Serv.Sub e Levant. LTDA BaseInteq Die
12;Fugro Geosolutions (Brasil) Serv. de Levant. Ltda
243;Fugro Marsat Serv. Sub. Ltda- Ocean S Pag
343;Fugro Marsat Serv. Sub. Ltda- Ocean S Pag - Navio
355;Fugro Oceansatpeg S.A
