ID_Empresa;RazaoSocial;CNPJ
294;"Techint S.A";61575775/010908
374;"Technip Brasil - Eng., Inst.  Ap. S.A Sunrise 2000";68915891002002
495;"Technip Brasil - Eng., Inst. Apo.Mar Normand Seven";68915891002002
486;"Technip Brasil - Eng., Inst. e Apo Mrí S. DECO";68915891002002
373;"Technip Brasil - Eng., Inst. e Apoio Maritimo S.A";68915891002002
454;"Technip Brasil - Eng., Inste ApoioNormand Progress";68915891002002
120;"Tecnologia em Cabos de Aço Brascabo Ltda";02755014000140
558;"Tecnologia Total em Empreendimentos Ltda.";05898202000116
113;"Termomacae  Ltda";02290787000280
47;"Tetra Technologies do Brasil Ltda";02976581000127
593;"Tetra Technologies do Brasil Ltda - NS15";02976581000127
585;"Tetra Technologies do Brasil Ltda - NS18";02976581000127
616;"Tetra Technologies do Brasil Ltda - NS23";02976581000127
586;"Tetra Technologies do Brasil Ltda - NS32";02976581000127
579;"Tetra Technologies do Brasil Ltda - P-16";02976581000127
603;"Tetra Technologies do Brasil Ltda - P-23";02976581000127
632;"Tetra Technologies do Brasil Ltda - Planta Fluidos";02976581000127
369;"Tetra Technologies do Brasil Ltda - Porto Niteroi";02976581000127
580;"Tetra Technologies do Brasil Ltda - PPG-1";02976581000127
587;"Tetra Technologies do Brasil Ltda - PVM-2";02976581000127
604;"Tetra Technologies do Brasil Ltda - SS-20";02976581000127
605;"Tetra Technologies do Brasil Ltda - SS-39";02976581000127
594;"Tetra Technologies do Brasil Ltda - SS-49";02976581000127
576;"Tetra Technologies do Brasil Ltda - SS-54";02976581000127
595;"Tetra Technologies do Brasil Ltda - SS-61";02976581000127
588;"Tetra Technologies do Brasil Ltda - SS-62";02976581000127
624;"Tetra Technologies do Brasil Ltda - SS-63";02976581000127
606;"Tetra Technologies do Brasil Ltda - SS-64";02976581000127
614;"Tetra Technologies do Brasil Ltda - SS-65";02976581000127
625;"Tetra Technologies do Brasil Ltda - SS-68";02976581000127
589;"Tetra Technologies do Brasil Ltda - SS-69";02976581000127
607;"Tetra Technologies do Brasil Ltda - SS-70";02976581000127
626;"Tetra Technologies do Brasil Ltda - SS-77";02976581000127
599;"Tetra Technologies do Brasil Ltda - SS-78";02976581000127
617;"Tetra Technologies do Brasil Ltda - SS37";02976581000127
618;"Tetra Technologies do Brasil Ltda - SS47";02976581000127
619;"Tetra Technologies do Brasil Ltda - SS50";02976581000127
620;"Tetra Technologies do Brasil Ltda - SS57";02976581000127
621;"Tetra Technologies do Brasil Ltda - SS60";02976581000127
62;"THV Transportes Ltda";NULL
132;"Transmagno Transportes Rodoviarios Ltda";28299386000101
90;"Transocean Brasil Ltda";40278681000179
527;"Transocean Brasil Ltda  Arctic 1";40278681000179
145;"Transocean Brasil Ltda - Base";NULL
598;"Transocean Brasil Ltda - Centro de Treinamento";NULL
528;"Transocean Brasil Ltda - Deep Water Discovery";NULL
498;"Transocean Brasil Ltda - Discovery";NULL
628;"Transocean Brasil Ltda - Falcon 100";NULL
597;"Transocean Brasil Ltda - MTC TRANSOCEAN MACAE";40278681000179
146;"Transocean Brasil Ltda - NS 16";NULL
147;"Transocean Brasil Ltda - NS 20";NULL
148;"Transocean Brasil Ltda - NS 22";NULL
153;"Transocean Brasil Ltda - NS 23";NULL
441;"Transocean Brasil Ltda - NS 26 MILENNIUM";40278681000179
386;"Transocean Brasil Ltda - NS16";40278681000179
537;"Transocean Brasil Ltda - Petrobras 10000";NULL
446;"Transocean Brasil Ltda - Sedco 706 Ilha Rasa";NULL
629;"Transocean Brasil Ltda - Sovereign Explorer";NULL
419;"Transocean Brasil Ltda - SOVEX";NULL
442;"Transocean Brasil Ltda - SS 37";40278681000179
463;"Transocean Brasil Ltda - SS 40";40278681000179
154;"Transocean Brasil Ltda - SS 41";NULL
149;"Transocean Brasil Ltda - SS 43";NULL
150;"Transocean Brasil Ltda - SS 49";NULL
151;"Transocean Brasil Ltda - SS 50";NULL
464;"Transocean Brasil Ltda - SS 52";40278681000179
465;"Transocean Brasil Ltda - SS 55";40278681000179
152;"Transocean Brasil Ltda - SS 59";NULL
387;"Transocean Brasil Ltda - SS 63";NULL
466;"Transocean Brasil Ltda - SS 64";40278681000179
485;"Transocean Brasil Ltda - SS72 Celtic Sea";NULL
510;"Transocean Brasil Ltda - SS76 Cajun Express";NULL
335;"Transportadora Bitury Ltda";NULL
522;"Transportadora Norte Fluminense de Macaé Ltda.";NULL
63;"Transportadora Novo Milenio Ltda";NULL
130;"TRIBEL Trat. de Residuos Ind.";NULL
103;"Tuboscope Vetco do Brasil Eq. Serv. Ltda";NULL
32;"UNAP Uniao Nacional de Perfuraçao L";15676893000329
359;"Univex  ( * Encontra-se em trÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã";NULL
354;"Univex Industria e ComÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±rcio";NULL
122;"Usina Norte Fluminense S/A";NULL
524;"UTC Engenharia S/A.";44023661008192
31;"Varco International  Brasil Eq. Serv. Ltda _1";NULL
106;"Varco International  Brasil Eq. Serv. Ltda_2";NULL
278;"Ventura Petroleo S.A.";01785706000179
33;"Ventura Petroleo S.A. - Base";01785706000179
525;"Ventura Petroleo S.A. - Dynamic Producer";01785706000179
590;"Ventura Petroleo S.A. - NS29 Carolina";01785706000179
169;"Ventura Petroleo S.A. - SS 51 LOUISIANA";NULL
482;"Ventura Petroleo S.A. - SS70 Victória";01785706000179
127;"Vetco Gray oleo e Gas Ltda";05635291000299
581;"Weatherford Ind. e Comercio Ltda - Novo Cavaleiros";93189694000723
128;"Weatherford Industria e comercio Ltda";93189694000723
227;"White Martins Gases Industriais Ltda";35820448001299
490;xxxxxxxxxxxxxxxxxxxxxxxx;xxxxxxxxxxxxxxx
509;"xxxxxxxxxxxxxxxxxxxxxxxx - 4ª via já entregue";xxxxxxxxxxxxxxx
